date,growth,inflation,liquidity,sentiment
2021-01-31,,,,
2021-02-28,,,,
2021-03-31,,,,
2021-04-30,,,,
2021-05-31,,,,
2021-06-30,,,-1.3522468075656273,1.2909420490863466
2021-07-31,,,-1.4084056792618578,1.2789214018516053
2021-08-31,,,-1.451815905533101,1.2702851363732095
2021-09-30,,,1.1143909197637065,0.6661232595211569
2021-10-31,,,1.1091089451179958,0.10290926298831704
2021-11-30,,,1.9342300339019336,-0.4531329453181579
2021-12-31,,,1.9700854353844304,-0.9643838697017346
2022-01-31,,,2.249368078292634,-1.653800688899598
2022-02-28,,,1.9541756372471837,-1.9493557957132948
2022-03-31,,,1.9341240612556954,-1.935876954571799
2022-04-30,,,1.8664306561492976,-1.8276178120042221
2022-05-31,,,1.739698640696147,-1.7224360116182758
2022-06-30,,,1.6365858593258302,-1.6411128184757497
2022-07-31,-1.6251635858446818,-0.72393467029177,0.4062961900433421,-1.4852042498403786
2022-08-31,-1.6047690693673422,-1.4681558857888017,0.29627545167272434,-1.5205502728087201
2022-09-30,-1.6347135111840936,-1.9167981441627522,0.19408228752548573,-1.4306430301986612
2022-10-31,-1.6184104836283242,-2.1534959030004543,0.08518097341105209,-1.4964817190394593
2022-11-30,-1.5362498285933708,-2.2152694749904316,-0.1434740773268405,-1.4173193455429438
2022-12-31,-1.4778619388609358,-2.1934886004448435,-0.45665502933347296,-1.5160756521346013
